sep=,
CUSTOM.date [local],CUSTOM.updateTime [local],OSD.flyTime,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.height [ft],OSD.heightMax [ft],OSD.vpsHeight [ft],OSD.altitude [ft],OSD.mileage [ft],OSD.hSpeed [MPH],OSD.hSpeedMax [MPH],OSD.xSpeed [MPH],OSD.xSpeedMax [MPH],OSD.ySpeed [MPH],OSD.ySpeedMax [MPH],OSD.zSpeed [MPH],OSD.zSpeedMax [MPH],OSD.pitch,OSD.roll,OSD.yaw,OSD.yaw [360],OSD.directionOfTravel,OSD.flycState,OSD.flycCommand,OSD.flightAction,OSD.gpsNum,OSD.gpsLevel,OSD.isGPSUsed,OSD.nonGPSCause,OSD.droneType,OSD.isSwaveWork,OSD.waveError,OSD.goHomeStatus,OSD.batteryType,OSD.ctrlDevice,OSD.isOnGround,OSD.isMotorOn,OSD.isMotorBlocked,OSD.motorStartFailedCause,OSD.motorFailReason,OSD.isImuPreheated,OSD.imuInitFailReason,OSD.isAcceletorOverRange,OSD.isBarometerDeadInAir,OSD.isCompassError,OSD.isGoHomeHeightModified,OSD.canIOCWork,OSD.isNotEnoughForce,OSD.isOutOfLimit,OSD.isPropellerCatapult,OSD.isVibrating,OSD.isVisionUsed,OSD.voltageWarning,GIMBAL.mode,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.yaw [360],GIMBAL.isPitchAtLimit,GIMBAL.isRollAtLimit,GIMBAL.isYawAtLimit,GIMBAL.isStuck,CAMERA.isPhoto,CAMERA.isVideo,CAMERA.filename,CAMERA.sdCardIsInserted,CAMERA.sdCardState,RC.downlinkSignal,RC.uplinkSignal,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.mode,RC.goHomeDepressed,RC.recordDepressed,RC.shutterDepressed,RC.playbackDepressed,RC.wheelDepressed,RC.wheelOffset,RC.custom1Depressed,RC.custom2Depressed,RC.custom3Depressed,RC.custom4Depressed,BATTERY.chargeLevel,BATTERY.currentPV [V],BATTERY.currentCapacity [mAh],BATTERY.fullCapacity [mAh],BATTERY.voltage [V],BATTERY.isCellVoltageEstimated,BATTERY.cellVoltage1 [V],BATTERY.cellVoltage2 [V],BATTERY.cellVoltage3 [V],BATTERY.cellVoltage4 [V],BATTERY.cellVoltage5 [V],BATTERY.cellVoltage6 [V],BATTERY.maxCellVoltageDeviation,BATTERY.isCellVoltageDeviationHigh,BATTERY.isVoltageLow,BATTERY.current [A],BATTERY.temperature [F],BATTERY.minTemperature [F],BATTERY.maxTemperature [F],BATTERY.usefulTime [s],BATTERY.goHomeTime [s],BATTERY.landTime [s],BATTERY.goHomeBattery,BATTERY.landBattery,BATTERY.safeFlyRadius,BATTERY.volumeConsume,BATTERY.status,BATTERY.goHomeStatus,BATTERY.goHomeCountdown,BATTERY.lowWarning,BATTERY.lowWarningGoHome,BATTERY.seriousLowWarning,BATTERY.seriousLowWarningLanding,BATTERY.timesCharged,MC.failSafeAction,MC.isObstacleAvoidanceEnabled,MC.isCollisionAvoidanceEnabled,MC.isRthObstacleAvoidanceEnabled,MC.isBraking,MC.isAvoidingObstacle,MC.isAvoidingActiveObstacle,MC.isAscentLimitedByObstacle,MC.isLandingConfirmationNeeded,MC.atLowAltitudeLimit,MC.atDistanceLimit,MC.atAirportAltitudeLimit,MC.atAirportBoundary,HOME.latitude,HOME.longitude,HOME.distance [ft],HOME.height [ft],HOME.heightLimit [ft],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isCompassCalibrating,HOME.compassCalibrationState,HOME.isMultipleFlightModeEnabled,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [ft],HOME.courseLockAngle,HOME.forceLandingHeight [ft],HOME.dataRecorderFileIndex,WEATHER.windDirection,WEATHER.windRelativeDirection,WEATHER.windSpeed [MPH],WEATHER.maxWindSpeed [MPH],WEATHER.windStrength,WEATHER.isFacingWind,WEATHER.isFlyingIntoWind,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftName,RECOVER.aircraftSerial,RECOVER.cameraSerial,RECOVER.rcSerial,RECOVER.batterySerial,DETAILS.totalTime [s],DETAILS.totalDistance [ft],DETAILS.maxHeight [ft],DETAILS.maxHorizontalSpeed [MPH],DETAILS.maxVerticalSpeed [MPH],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.aircraftName,DETAILS.aircraftSerial,DETAILS.cameraSerial,DETAILS.rcSerial,DETAILS.batterySerial,DETAILS.appName,DETAILS.appType,DETAILS.appVersion,DETAILS.guid,SERIAL.flightController,SERIAL.camera,SERIAL.gimbal,SERIAL.rc,SERIAL.battery,APPGPS.latitude,APPGPS.longitude,APPGPS.accuracy,APP.tip,APP.warning
11/10/2024,3:09:29.82 AM,0m 0.0s,0.0,-7.2806385965903,112.796921828772,0,0,,10,0,0,0,0,0,0,0,0,0,-10.7,-0.4,103.8,103.8,,P-GPS,Other,Takeoff (RC Assisted),22,5,True,,DJI FPV,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,-0.5,108.8,108.8,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,0,False,False,False,False,False,0,False,False,False,False,58,21.93,1060,1840,21.93,True,3.655,3.655,3.655,3.655,3.655,3.655,,False,False,2.544,92.8,92.8,92.8,,,,,,,,,Idle,,,,,,13,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,Linux,0.0.1,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPHCPAA104CB,263,1.5,72.1,18.99162,14.316416,0,0,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPHCPAA104CB,DJI Fly,Linux,0.0.1,986891CF-E8B0-0E1D-07D9-9ACCB8AAEB50,37QBJ3G00B020K,,3F2TJ1429200MP,37RBHB600B03LB,,,,,Motors starting.; Flight mode changed to P-GPS.,
11/10/2024,3:09:30.02 AM,0m 0.2s,0.2,-7.2806387237358,112.796921690248,0,0,,10,0,0,0,0,0,0,0,0,0,-10.7,-0.4,103.8,103.8,,Starting Motors,Other,Takeoff (RC Assisted),22,5,True,,DJI FPV,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,-0.5,108.7,108.7,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,0,False,False,False,False,False,0,False,False,False,False,57,21.93,1060,1840,22.221,True,3.704,3.704,3.704,3.704,3.704,3.704,,False,False,2.544,92.8,92.8,92.8,,11,,,5,5640.0,835.56,,Idle,,25,,5,,13,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,-7.280609664052,112.796951419735,15.1,57.7,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,328,298.5,9.8,80,,,,,Calm,False,False,Linux,0.0.1,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPHCPAA104CB,263,1.5,72.1,18.99162,14.316416,0,0,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPHCPAA104CB,DJI Fly,Linux,0.0.1,986891CF-E8B0-0E1D-07D9-9ACCB8AAEB50,37QBJ3G00B020K,,3F2TJ1429200MP,37RBHB600B03LB,,,,,Data Recorder File Index is 80.; Set Return to Home (RTH) altitude to 100 m (328 ft).; Set maximum flight altitude to 500 m (1640 ft).; Flight mode changed to Starting Motors.,
11/10/2024,3:09:30.22 AM,0m 0.4s,0.4,-7.2806387003095,112.79692154703,0,0,,10,0,0,0,0,0,0,0,0,0,-10.7,-0.4,103.8,103.8,,Starting Motors,Other,Takeoff (RC Assisted),22,5,True,,DJI FPV,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,-0.5,108.9,108.9,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,0,False,False,False,False,False,0,False,False,False,False,57,21.93,1060,1840,22.221,True,3.704,3.704,3.704,3.704,3.704,3.704,,False,False,2.544,92.8,92.8,92.8,,11,,,5,5640.0,835.56,,Idle,,25,,5,,13,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,-7.280609664052,112.796951419735,15.1,57.7,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,328,298.5,9.8,80,,,,,Calm,False,False,Linux,0.0.1,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPHCPAA104CB,263,1.5,72.1,18.99162,14.316416,0,0,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPHCPAA104CB,DJI Fly,Linux,0.0.1,986891CF-E8B0-0E1D-07D9-9ACCB8AAEB50,37QBJ3G00B020K,,3F2TJ1429200MP,37RBHB600B03LB,,,,,,
11/10/2024,3:09:30.42 AM,0m 0.6s,0.6,-7.2806386730755,112.796921575273,0,0,,10,0,0,0,0,0,0,0,0,0,-10.7,-0.4,103.8,103.8,,Starting Motors,Other,Takeoff (RC Assisted),22,5,True,,DJI FPV,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,-0.5,108.8,108.8,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,0,False,False,False,False,False,0,False,False,False,False,57,21.93,1060,1840,22.221,True,3.704,3.704,3.704,3.704,3.704,3.704,,False,False,2.544,92.8,92.8,92.8,,11,,,5,5640.0,835.56,,Idle,,25,,5,,13,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,-7.280609664052,112.796951419735,15.1,57.7,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,328,298.5,9.8,80,,,,,Calm,False,False,Linux,0.0.1,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPHCPAA104CB,263,1.5,72.1,18.99162,14.316416,0,0,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPHCPAA104CB,DJI Fly,Linux,0.0.1,986891CF-E8B0-0E1D-07D9-9ACCB8AAEB50,37QBJ3G00B020K,,3F2TJ1429200MP,37RBHB600B03LB,,,,,,
11/10/2024,3:09:30.62 AM,0m 0.8s,0.8,-7.2806386486792,112.796921601352,0,0,,10,0,0,0,0,0,0,0,0,0,-10.7,-0.4,103.8,103.8,,Starting Motors,Other,Takeoff (RC Assisted),22,5,True,,DJI FPV,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,-0.5,108.8,108.8,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,0,False,False,False,False,False,0,False,False,False,False,57,21.93,1060,1840,22.221,True,3.704,3.704,3.704,3.704,3.704,3.704,,False,False,2.544,92.8,92.8,92.8,,11,,,5,5640.0,835.56,,Idle,,25,,5,,13,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,-7.280609664052,112.796951419735,15.1,57.7,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,328,298.5,9.8,80,,,,,Calm,False,False,Linux,0.0.1,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPHCPAA104CB,263,1.5,72.1,18.99162,14.316416,0,0,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPHCPAA104CB,DJI Fly,Linux,0.0.1,986891CF-E8B0-0E1D-07D9-9ACCB8AAEB50,37QBJ3G00B020K,,3F2TJ1429200MP,37RBHB600B03LB,,,,,,
11/10/2024,3:09:30.82 AM,0m 1.0s,1.0,-7.2806387882137,112.796921462419,0,0,,10,0.1,0,0,0,0,0,0,0,0,-10.7,-0.4,103.8,103.8,,Starting Motors,Other,Takeoff (RC Assisted),22,5,True,,DJI FPV,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,-0.5,108.8,108.8,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,0,False,False,False,False,False,0,False,False,False,False,57,21.93,1060,1840,22.221,True,3.704,3.704,3.704,3.704,3.704,3.704,,False,False,2.544,92.8,92.8,92.8,,11,,,5,5640.0,835.56,,Idle,,25,,5,,13,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,-7.280609664052,112.796951419735,15.1,57.7,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,328,298.5,9.8,80,,,,,Calm,False,False,Linux,0.0.1,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPHCPAA104CB,263,1.5,72.1,18.99162,14.316416,0,0,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPHCPAA104CB,DJI Fly,Linux,0.0.1,986891CF-E8B0-0E1D-07D9-9ACCB8AAEB50,37QBJ3G00B020K,,3F2TJ1429200MP,37RBHB600B03LB,,,,,,
11/10/2024,3:09:31.02 AM,0m 1.2s,1.2,-7.2806387598524,112.796921494457,0,0,,10,0.1,0,0,0,0,0,0,0,0,-10.7,-0.4,103.8,103.8,,Starting Motors,Other,Takeoff (RC Assisted),22,5,True,,DJI FPV,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,-0.5,108.8,108.8,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,0,False,False,False,False,False,0,False,False,False,False,57,21.93,1060,1840,22.226,True,3.704,3.704,3.704,3.704,3.704,3.704,,False,False,2.544,92.8,92.8,92.8,,11,,,5,5638.2,835.30,,Idle,,25,,5,,13,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,-7.280609664052,112.796951419735,15.1,57.7,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,328,298.5,9.8,80,,,,,Calm,False,False,Linux,0.0.1,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPHCPAA104CB,263,1.5,72.1,18.99162,14.316416,0,0,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPHCPAA104CB,DJI Fly,Linux,0.0.1,986891CF-E8B0-0E1D-07D9-9ACCB8AAEB50,37QBJ3G00B020K,,3F2TJ1429200MP,37RBHB600B03LB,,,,,,
11/10/2024,3:09:31.22 AM,0m 1.4s,1.4,-7.2806387402857,112.796921516808,0,0,,10,0.1,0,0,0,0,0,0,0,0,-10.7,-0.4,103.8,103.8,,Starting Motors,Other,Takeoff (RC Assisted),22,5,True,,DJI FPV,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,-0.5,108.9,108.9,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,0,False,False,False,False,False,0,False,False,False,False,57,21.93,1060,1840,22.226,True,3.704,3.704,3.704,3.704,3.704,3.704,,False,False,2.544,92.8,92.8,92.8,,11,,,5,5638.2,835.30,,Idle,,25,,5,,13,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,-7.280609664052,112.796951419735,15.1,57.7,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,328,298.5,9.8,80,,,,,Calm,False,False,Linux,0.0.1,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPHCPAA104CB,263,1.5,72.1,18.99162,14.316416,0,0,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPHCPAA104CB,DJI Fly,Linux,0.0.1,986891CF-E8B0-0E1D-07D9-9ACCB8AAEB50,37QBJ3G00B020K,,3F2TJ1429200MP,37RBHB600B03LB,,,,,,
11/10/2024,3:09:31.42 AM,0m 1.6s,1.6,-7.2806387167695,112.796921534411,0,0,,10,0.1,0,0,0,0,0,0,0,0,-10.7,-0.4,103.8,103.8,,Manual Takeoff,Other,Takeoff (RC Assisted),22,5,True,,DJI FPV,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,-0.5,108.9,108.9,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,0,False,False,False,False,False,0,False,False,False,False,57,21.93,1060,1840,22.226,True,3.704,3.704,3.704,3.704,3.704,3.704,,False,False,2.544,92.8,92.8,92.8,,11,,,5,5638.2,835.30,,Idle,,25,,5,,13,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,-7.280609664052,112.796951419735,15.1,57.7,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,328,298.5,9.8,80,,,,,Calm,False,False,Linux,0.0.1,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPHCPAA104CB,263,1.5,72.1,18.99162,14.316416,0,0,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPHCPAA104CB,DJI Fly,Linux,0.0.1,986891CF-E8B0-0E1D-07D9-9ACCB8AAEB50,37QBJ3G00B020K,,3F2TJ1429200MP,37RBHB600B03LB,,,,,Flight mode changed to Manual Takeoff.,
11/10/2024,3:09:31.62 AM,0m 1.8s,1.8,-7.2806386952084,112.796921551394,0,0,,10,0.1,0,0,0,0,0,0,0,0,-10.8,-0.4,103.8,103.8,,Manual Takeoff,Other,Takeoff (RC Assisted),22,5,True,,DJI FPV,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,-0.5,108.9,108.9,False,False,False,False,False,False,,True,Normal,100,100,469,735,527,1595,0,False,False,False,False,False,0,False,False,False,False,57,21.93,1060,1840,22.226,True,3.704,3.704,3.704,3.704,3.704,3.704,,False,False,2.544,92.8,92.8,92.8,,11,,,5,5638.2,835.30,,Idle,,25,,5,,13,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,-7.280609664052,112.796951419735,15.1,57.7,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,328,298.5,9.8,80,,,,,Calm,False,False,Linux,0.0.1,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPHCPAA104CB,263,1.5,72.1,18.99162,14.316416,0,0,DJI FPV,37QBJ3G00B020K,3F2TJ1429200MP,37RBHB600B03LB,37WPHCPAA104CB,DJI Fly,Linux,0.0.1,986891CF-E8B0-0E1D-07D9-9ACCB8AAEB50,37QBJ3G00B020K,,3F2TJ1429200MP,37RBHB600B03LB,,,,,,
